name,mode,max_features,min_df,max_df,algorithm,max_iter,silhouette,wssse,wssse_per_point,largest_cluster_size,smallest_cluster_size,largest_cluster_ratio,cluster_size_cv,normalized_cluster_entropy,singleton_clusters,small_clusters_lt_10,k,iterations,runtime_seconds,vocabulary_size
01_baseline,baseline,5000,5,0.9,spherical,20,0.0224141647003675,21441.96875,1.388638608250761,587,57,0.038015672560067354,0.47498788290875643,0.973215426617438,0,0,60,20,2.296106999972835,5000
02_tfidf_optimized,baseline,3000,3,0.9,spherical,20,0.024175171328836568,20828.78515625,1.3489272169062885,659,75,0.042678582993329446,0.4807364720964476,0.9729289469713498,0,0,60,20,2.1430111000081524,3000
03_weighted_title_tags,weighted,3000,3,0.9,spherical,20,0.03206610783922511,20599.048828125,1.3340488846658247,605,72,0.039181400168382875,0.49998850251657734,0.9702611986152703,0,0,60,20,2.148531000013463,3000
04_add_answers,weighted_answers,3000,3,0.9,spherical,20,0.02876927940655952,19829.21875,1.2841926526779355,669,67,0.043326209442393626,0.47515262438576916,0.9726088400604662,0,0,60,20,2.279754100018181,3000
05_bisecting,weighted_answers,3000,3,0.9,bisecting,20,0.005714635032545056,20445.85546875,1.3241276775306003,391,92,0.02532219415840943,0.29398088695266145,0.9890313886897667,0,0,60,,3.125524300034158,3000
