silhouette,wssse,wssse_per_point,largest_cluster_size,smallest_cluster_size,largest_cluster_ratio,cluster_size_cv,normalized_cluster_entropy,singleton_clusters,small_clusters_lt_10,k,algorithm,iterations,runtime_seconds
0.019357628735963063,22051.30859375,1.4281010681788744,860,76,0.05569587461951946,0.49185699889675927,0.967299275524267,0,0,40,spherical,20,1.9104060999816284
0.020099706420635202,21868.5546875,1.4162654418431448,862,71,0.055825399909332295,0.528838624792257,0.9648295569268367,0,0,45,spherical,20,1.9253034999710508
0.021108161556318148,21724.669921875,1.4069470838595297,690,67,0.0446862249854284,0.4958098372489978,0.9685915997337269,0,0,50,spherical,20,2.1478462000377476
0.021376685125362883,21585.75,1.3979502622887119,605,63,0.039181400168382875,0.47411632304801954,0.972499027870955,0,0,55,spherical,20,2.1936949999653734
0.021372357957865424,21561.591796875,1.3963857131581503,592,61,0.03833948578459944,0.4578969015835874,0.9744161684726486,0,0,56,spherical,20,2.3245596999768168
0.021336728943851826,21549.34765625,1.3955927502266692,617,63,0.039958551907259894,0.46721394215524875,0.9733423713918492,0,0,57,spherical,20,2.391602599993348
0.021361185164497757,21496.09765625,1.3921441393854026,606,63,0.0392461628132893,0.4735541711957684,0.9730021205089866,0,0,58,spherical,20,2.261955099995248
0.021496815041888297,21476.49609375,1.390874690353604,592,61,0.03833948578459944,0.48062604611392223,0.9722588270933847,0,0,59,spherical,20,2.324871099961456
0.0224141647003675,21441.96875,1.388638608250761,587,57,0.038015672560067354,0.47498788290875643,0.973215426617438,0,0,60,spherical,20,2.2856093000154942
0.02228390578945916,21417.2421875,1.3870372506638171,591,57,0.038274723139693025,0.47303034841116687,0.973505818506367,0,0,61,spherical,20,2.354975599970203
0.022345329845350557,21389.7734375,1.3852583017615439,570,60,0.03691470759665825,0.47976339131730333,0.9723780836666119,0,0,62,spherical,20,2.3990097999922
0.02234811925460282,21386.109375,1.3850210073829414,596,61,0.03859853636422512,0.4949488854944833,0.970768800585876,0,0,63,spherical,20,2.4421779999975115
0.020200220597473142,21361.5234375,1.3834287570429376,593,61,0.03840424842950586,0.49167512964827853,0.9712936888454985,0,0,64,spherical,20,2.408307900012005
0.020895397519092578,21331.013671875,1.3814528639255876,548,58,0.03548992940871705,0.4769605634909654,0.9725219555054079,0,0,65,spherical,20,2.4880413999781013
0.019616434237244375,21228.984375,1.3748451768020207,538,55,0.03484230295965287,0.46979676556483974,0.9740746704129536,0,0,70,spherical,20,2.6368378999759443
0.018619941346202134,21147.78125,1.3695862476523541,462,46,0.029920341946765107,0.4612200514336846,0.9747707891717824,0,0,75,spherical,20,2.791454899997916
0.017993845521948073,21046.1328125,1.3630032259892495,446,45,0.028884139628262417,0.47760138426326015,0.9740424997934505,0,0,80,spherical,20,2.8758980000275187
0.01942372155170296,20924.21875,1.355107748850463,443,44,0.028689851693543163,0.47037151350264245,0.9753319982856838,0,0,85,spherical,20,3.0883236000081524
0.018255849927845565,20843.828125,1.349901439349783,365,42,0.02363836539084256,0.4441084338200508,0.9776002013522674,0,0,90,spherical,20,3.260594099992886
